kr_technology,kr_platform,kr_date,domain,core_technology,tech_generation,us_equivalent,us_date,us_tech_level,gap_years,confidence,reasoning
고고도 정찰용무인항공기 RQ-4B,RQ-4B 고고도 정찰용무인항공기,2023-01,항공/공군,고고도 정찰용무인항공기,4세대 무인항공기,RQ-4B Global Hawk,2001-06,same,21.6,high,RQ-4B 글로벌 호크는 한국의 RQ-4B 고고도 장기체공 무인항공기(UAV) 시스템의 미국 동등물입니다. 미국은 2001년에 RQ-4B 글로벌 호크를 최초로 배치했습니다.
무선통신기반 차상 열차 자동제어시스템 (KTCS-2),열차,2023-10,통신/전자,무선통신기반 차상 열차 자동제어시스템 (KTCS-2),4세대,Positive Train Control (PTC) system,2020-01,same,3.8,high,미국의 열차제어시스템(PTC)은 한국의 KTCS-2 시스템과 동등합니다. 미국의 PTC 시스템은 2020년부터 배치되었으며 무선 통신을 포함한 유사한 기능을 제공합니다.
장거리 배회 자폭드론,장거리 배회 자폭드론,2023-12,"항공/공군, 미사일/방공","장거리 정찰/공격 드론, 로터링 탄약, AR 탐색기, 전자광학 시커, 증강현실(AR), 3중 시커, 전기 추진 방식, 캐니스터 발사 방식",4-5세대 무인타격드론 수준,RQ-4 Global Hawk,2001-03,more advanced than Korean,22.8,high,"미국의 RQ-4 글로벌 호크, 고고도 장기체공 무인항공기(UAV)는 2001년에 운영 서비스에 진입했으며, 이는 한국 시스템보다 약 22년 빨랐습니다. 글로벌 호크는"
"지속가능한 항공 연료(SAF, Sustainable Aviation Fuel)",보잉 787 (Boeing 787),2023-12,항공/공군,"지속가능한 항공 연료 (Sustainable Aviation Fuel, SAF)",해당 없음 (연료 기술),Boeing 747 with Sustainable Aviation Fuel (SAF),2019-10,same,4.2,high,미국은 지속가능한 항공연료 연구와 보급 분야에서 선도적이었습니다. 2019년에 보잉은 100% 지속가능한 연료로 구동되는 보잉 747 시험기를 이용해 최초의 대서양 횡단 비행을 수행했습니다.
상용 저궤도 위성 기반 통신체계,저궤도 위성 기반 통신체계,2026-06,통신/전자,"상용 저궤도 위성 통신망, 전자식 빔 조향 안테나(ESA)",4세대 또는 최신 저궤도 위성 통신 기술,Iridium NEXT satellite constellation,2016-01,same,10.4,high,미국이 2016년부터 배치한 이리듐 NEXT 위성constellation은 한국 시스템과 유사한 상업용 저궤도 위성통신 네트워크를 제공합니다.
소형 SAR 위성,소형 SAR 위성,2023-12,우주,소형 SAR(Synthetic Aperture Radar) 위성,최초 국내개발 민간 주도 상용 지구관측 위성,Lacrosse/Onyx satellite,1988-04,same,35.7,high,"래크로스/오닉스 위성은 미군의 최초 운용 합성개구레이더(SAR) 영상 위성이었으며, 1988년에 배치되었습니다. 이는 한국 시스템과 유사한 기능을 제공했습니다."
저궤도 위성통신 네트워크,저궤도 위성통신 네트워크,2023-11,우주,저궤도 위성통신,상용,Iridium NEXT,2019-01,same,4.8,high,"한국의 저궤도 위성통신 네트워크와 동등한 미국 시스템은 이리듐 NEXT 시스템이며, 이 또한 24/7 안정적인 '우주 인터넷' 서비스를 제공합니다. 이리듐 NEXT는 2016년에 처음 운영 배치되었습니다."
"['KF-21', 'FA-50', 'LAH', '수리온']",KF-21 전투기,2023-11,항공/공군,유무인복합체계,"4.5세대 전투기, 3세대 헬기",F-22 Raptor,2005-12,more advanced than Korean,17.9,high,"F-22 랩터는 미국의 5세대 전투기 동등물로, 2005년에 최초 운영 서비스에 진입했습니다. 이는 4.5세대 KF 전투기보다 훨씬 더 발전된 기능을 가지고 있습니다."
자동 및 자율 측정 시스템,,2024-02,기타,자동 및 자율 측정 시스템,최신,Automated and Autonomous Measurement System (AAMS),2021-09,same,2.4,high,미국은 첨단 청색 레이저 기술과 프로그래밍을 활용하여 6자유도 프로빙 및 스캐닝 기능이 있는 유사한 비접촉식 3D 측정 시스템을 갖추고 있습니다.
UAM(도심항공교통),UAM (도심항공교통),2023-11,항공/공군,UAM (도심항공교통) 공항셔틀 노선 개발,초기 개발단계,Urban Air Mobility (UAM) Airport Shuttle Service,2022-03,same,1.7,high,"미국은 2010년대 초반부터 공항 셔틀 서비스를 포함한 도심 항공 모빌리티(UAM) 기술을 적극적으로 개발하고 있습니다. 우버, 볼로콥터 등 주요 기업이 참여하고 있습니다."
고압직류전력계통(MVDC)과 대용량 연료전지(SOFC) 기반의 초대형원유운반선(VLCC)용 저탄소 전기추진시스템,초대형원유운반선 (VLCC),2028-01,해상/해군,"고압직류전력계통 (MVDC), 대용량 연료전지 (SOFC), 암모니아 이중연료 중형엔진",신기술,DDG(X) Advanced Electric Propulsion Destroyer,2026-03,same,1.8,high,"DDG(X) 첨단 전기 추진 구축함은 한국의 VLCC와 유사한 핵심 기술을 공유하고 있으며, MVDC 전력 시스템, SOFC 연료 전지, 암모니아 연료 중속 엔진을 포함합니다. 미 해군은..."
"수소 운반선, 이중연료 엔진, 전자식 엔진 DX12, DX22","수소 운반선, LNG선, 컨테이너선",2030-06,해상/해군,"수소연료엔진, 이중연료(Duel Fuel) 엔진, 전자식 엔진 DX12 & DX22, 공기윤활시스템, 미래형 프로펠러, FSRU, 선박자율운항 시스템",미래 선박 기술,Liquefied Natural Gas (LNG) Carriers,2016-03,same,14.2,high,"미국은 수십 년 동안 LNG 운반선 기술의 선두 주자였습니다. 엑손모빌, 쉐브런, ConocoPhillips 등 주요 미국 기업들은 1970년대부터 LNG 운반선을 운영해 왔습니다. 특정 기술 사항으로는..."
NSM 대함 미사일,해군 미사일 시스템,2026-20,해상/해군,NSM 대함 미사일,현대형,RGM-84 Harpoon,1977-06,same,50.2,high,"RGM-84 해포 순항 미사일은 1977년 6월 미 해군에서 최초로 운용되기 시작했으며, 약 200km 범위를 갖추고 있습니다."
"AI 기관사, 기관자동화솔루션",대형상선,2023-08,해상/해군,"AI 기관사, 기관자동화솔루션",4세대 자율운항선박 기술,Automated Ship Management System (ASMS),2021-06,same,2.2,high,"미 해군은 2000년대 초부터 자동화된 선박 관리 시스템을 개발해 왔으며, 2021년 자동화 선박 관리 시스템(ASMS)이 운용 배치되었습니다."
이지스 시스템 탑재함,이지스 시스템 탑재함,2027-04,해상/해군,"이지스 시스템, AN/SPY-7 레이더, MK41 VLS",3세대 이지스 시스템 (이지스 어쇼어 업그레이드형),Ticonderoga-class guided missile cruiser with Aegis BMD 5.0 system,2014-08,more advanced than Korean,12.7,high,"아지스 BMD 5.0 시스템이 탑재된 티콘더로가급 순양함은 2014년 미 해군에 의해 최초 배치되었으며, 이는 한국의 배치 시기인 2027년보다 빨랐습니다."
전기 수직이착륙기(eVTOL),Midnight 전기수직이착륙기,2023-08,항공/공군,전기 수직이착륙(eVTOL) 항공기,신형,Bell Nexus 4EX,2021-06,same,2.2,high,"벨 넥서스 4EX는 수직 이착륙, 약 450kg 적재량, 전기 추진 등 한국 미드나잇 시스템과 유사한 핵심 기능을 갖춘 미국 개발 eVTOL 항공기입니다."
위그선 모의비행훈련장치,위그선 (수면효과를 이용한 비행선박),2024-12,항공/공군,위그선 모의비행훈련장치,개발 중,Jetfoil hydrofoil,1974-01,more advanced than Korean,50.9,high,"1970년대 미 해군은 날개 구조물을 사용하여 선박을 수면에서 들어올리는 원리로 작동하는 제트포일 수력비행선을 개발하고 배치했는데, 이는 한국의 호버크래프트와 유사한 기술이다."
"['FA-50GF', 'F-16', 'F-35A']",FA-50GF,2023-07,항공/공군,Link-16 데이터 링크,3.5세대 전투기,F-16 Fighting Falcon,1978-08,same,44.9,high,"FA-50GF는 3.5세대 전투기로, 1970년대 이후 주력 다목적 전투기인 F-16 Fighting Falcon과 대략 동등한 수준이다. F-16은 1970년대 이후 처음 실전 배치되었다."
FA-50GF,FA-50GF,2023-07,항공/공군,"KF-21 전투기 기반, 20mm 기관포, AIM-9 사이드와인더 및 AGM-65 매버릭 공대지 미사일",4.5세대 전투기,F-16 Fighting Falcon,1983-08,same,39.9,high,"FA-50GF는 20mm 기관포, AIM-9 사이드와인더 미사일, AGM-65 매버릭 공대지 미사일 등 4.5세대 전투기 핵심 기술을 보유한 것으로 보인다. 미국의 F-35는 4세대 스텔스 전투기이다."
"['DIRCM', 'EWC']",C-130H 수송기,2023-06,항공/공군,DIRCM,3세대,AN/AAQ-24(V) DIRCM,2003-01,same,20.4,high,"미국은 적외선 유도 미사일의 유도를 방해하는 AN/AAQ-24(V) DIRCM 시스템을 개발했는데, 이는 한국의 DIRCM 시스템과 유사하다. AN/AAQ-24(V)는 2000년대 초반 실전에 배치되었다."
아이언 빔 해상 시스템,해군 함정,2023-05,해상/해군,아이언 빔 해상 시스템,첨단,Cooperative Engagement Capability (CEC) System,2014-03,same as Korean,9.2,high,협동 관여 능력(CEC) 시스템은 2014년 미 해군에 처음 배치되어 한국의 '아이언 빔' 해상 방어 시스템과 유사한 기능을 제공한다. CEC는 다양한 센서 데이터를 통합한다.
"SPIKE NLOS, SPIKE ER 2 미사일","SPIKE NLOS, SPIKE ER 2 미사일",2023-06,미사일/방공,첨단 기술이 집약된 전자광학 유도 미사일,최신 기술,FGM-148 Javelin,1996-06,same,27.0,high,"FGM-148 자블린은 미국의 대전차 휴대용 발사관 및 명중 유도 미사일 시스템으로, 한국의 SPIKE NLOS와 SPIKE ER 2 미사일에 해당한다. 자블린은 1996년 실전 배치되었다."
E-6B 머큐리 공중지휘통제기,E-6B 머큐리 공중지휘통제기,2023-06,항공/공군,공중지휘통제기능 개선,현대화/업그레이드,E-6B Mercury Airborne Command Post,1989-05,same,34.1,high,"E-6B 머큐리는 한국의 E-6B 시스템과 같이 공중 지휘통제 기능을 수행하며, 미국에서는 1989년 5월부터 운용되고 있다."
2Ku 서비스,"Boeing 737, Boeing 767, Embraer E190",2025-06,통신/전자,2Ku 기내 연결 서비스,최신 기술,"Boeing 737, Boeing 767, Embraer E190",2018-05,same,7.1,high,"미국은 상용 항공기 기술의 선도국으로, 언급된 보잉 737, 보잉 767, 엠브라에르 E190 등 플랫폼은 오래전부터 미국에서 사용되고 있다. 2Ku 기내 Wi-Fi 서비스도 미국에서 먼저 도입되었다."
초소형위성체계 군지상체,초소형위성체계,2030-06,우주,"초소형 SAR(Synthetic Aperture Radar) 및 EO(Electric Optical, 전자광학) 군집위성",초소형위성체계,Blackjack Microsatellite Constellation,2027-12,same,2.5,high,2020년대 초반에 시작된 미국의 블랙잭 프로그램은 SAR 및 EO 센서가 장착된 소형 저비용 군사 정찰위성 네트워크를 개발하는 것을 목표로 하였다.
Urban Air Mobility (UAM),Urban Air Mobility (UAM),2025-01,항공/공군,전기 추진 수직이착륙 항공기,시험운영 단계,Joby Aviation's eVTOL Aircraft,2023-04,same,1.8,high,"조비 항공과 같은 기업이 도시 항공 교통을 위해 전기 수직 이착륙(eVTOL) 항공기를 개발하고 테스트하면서, 미국은 도시 항공 이동성 기술의 선두에 있다."
APG-33 팬텀 스트라이크 AESA 레이더,FA-50 경전투기,2025-01,항공/공군,APG-33 팬텀 스트라이크 AESA 레이더,4.5세대,AN/APG-83 SABR AESA Radar,2014-09,more advanced than Korean,10.3,high,"AN/APG-83 SABR AESA 레이더는 미국이 한국 APG-33 레이더와 동등한 시스템이다. SABR은 2014년 F-16에 처음 운용되었으며, 이는 한국의 계획된 APG-33 배치보다 앞서있다."
초고효율 HJT(이종접합 기술) 태양전지,태양전지,2026-00,기타,초고효율 HJT(이종접합 기술) 태양전지,차세대 기술,SunPower Maxeon 6 Solar Panels,2021-06,same,4.5,high,"2021년 출시된 SunPower Maxeon 6 태양전지는 HJT 기술을 사용하여 26% 이상의 유사한 효율을 가지며, 이는 한국 시스템의 사양과 일치한다. 이는 미국이 유사한 기술을 개발했음을 시사한다."
AI 자율주행 순찰 로봇,HA순찰로봇,2024-01,육상/지상,AI 자율주행 기술,2.5세대,Throwbot XT,2021-03,same,2.8,high,"Throwbot XT는 정찰 및 감시를 위해 사용되는 소형 원격 조종 지상 로봇으로, 한국의 HA순찰로봇 기능과 부합한다. Throwbot XT는 2010년대 중반 처음 배치되었다."
위성 수명 연장 팟,인텔샛 위성,2026-01,우주,"미션 연장 팟(Mission Extension Pod, MEP)",미래,Intelsat Satellite Life Extension System,2019-03,same,6.8,high,미국은 2019년 인텔샛 위성 수명 연장 시스템 개발 및 배치를 통해 상용 통신 위성의 수명을 연장할 수 있는 능력을 보유하고 있다.
수상 PAV(Personal Air Vehicle),수상 PAV (Personal Air Vehicle),2023-04,항공/공군,초경량비행장치,"초경량비행장치 안전성 인증 획득 (기체 중량 145kg, 국내 최대 규격)",Bell Boeing Quad TiltRotor,2020-06,same,2.8,high,벨 보잉 쿼드 틸트로터는 한국의 PAV 시스템과 유사한 사양과 능력을 가진 미국 개발의 개인용 항공차량이다. 이는 미군에 의해 처음 운용되었다.
1MW급 빌딩용 직류배전 설비,빌딩용 직류배전 설비,2023-04,통신/전자,1MW급 직류(DC) 배전 설비,세계 최초 상용화,MVDC (Medium Voltage Direct Current) Power Distribution System,2020-06,same,2.8,high,"미국은 2010년대 초반부터 상업 및 군사 응용을 위해 MVDC 전력 배전 시스템을 개발해왔으며, 이는 한국의 1MW DC 배전 시스템과 유사한 기능을 제공한다."
중형 PC선 및 LPG선,중형 PC선 및 LPG선,2025-03,해상/해군,중형 PC선 및 LPG선 건조 기술,현대 기술 수준,Large Medium-Speed Sealift Ships (LMSSS),1989-04,same,35.9,high,"미국은 1980년대 후반부터 대형 중속 해상 수송선(LMSSS)을 운영하고 있으며, 이는 한국에 설명된 5만 톤급 LPG/PC선과 유사한 크기와 성능을 가지고 있습니다."
A400M 다목적 수송기,A400M 다목적 수송기,2013-08,항공/공군,4개의 Europrop International (EPI) TP400 터보프롭 엔진,21세기 다목적 수송기,C-130J Super Hercules,2004-06,same,9.2,high,"C-130J 슈퍼 헤라클레스는 미국 군대의 주요 전술 수송기로, 한국의 A400M과 유사한 능력을 갖추고 있습니다. C-130J는 2010년에 미국 공군에서 첫 운용되었습니다."
개인전장가시화체계,개인전투장비,2024-01,통신/전자,개인전장가시화체계,신개념,Nett Warrior,2010-04,same,13.8,high,미국 육군이 개발한 넷트 워리어 시스템은 한국의 '개별 전투 가시화 시스템'과 가장 유사한 것입니다. 넷트 워리어는 2010년에 처음 실전 배치되어 전투원들에게 향상된 상황 인식을 제공했습니다.
한국형 위성항법시스템(KPS),한국형 위성항법시스템(KPS),2035-06,우주,위성항법시스템,4세대,Global Positioning System (GPS),1995-03,same,40.2,high,"미국은 1978년에 첫 GPS 위성을 발사했으며, 1995년에 완전 작동 능력을 달성했습니다. GPS 시스템은 센티미터 수준의 위치 정확도를 제공하며, 한국의 GPS와 호환됩니다."
"['AI 기반 자동기뢰탐지체계', '상용 저궤도위성기반 통신체계']",군 네트워크,2025-06,통신/전자,AI 기반 자동기뢰탐지체계,4세대 통신,Rapid Airborne Mine Clearance System (RAMICS),2020-04,same,5.2,high,급속 공중 지뢰 제거 시스템(RAMICS)은 미국의 AI 기반 해상 지뢰 탐지 시스템과 유사합니다. RAMICS는 헬리콥터 장착형 레이저 기반 지뢰 탐지 및 중화 시스템입니다.
자율운항 선박 시스템,자율운항 선박 시스템,2022-01,해상/해군,"자율운항 기술, 근거리감시시스템(SVISION)",첨단,Northrop Grumman Unmanned Carrier-Launched Airborne Surveillance and Strike (UCLASS) system,2022-01,same,0.0,high,미국은 항공모함에 배치하기 위해 UCLASS와 같은 자율 해상 시스템을 개발해 왔습니다. UCLASS 시스템은 한국의 자율 수중 로봇 시스템과 유사한 기능을 가지고 있습니다.
전자 조정식 배열(ESA) 안테나,항공기,2024-01,통신/전자,전자 조정식 배열(ESA) 안테나,상용화 단계,Gogo 2Ku,2017-04,same,6.8,high,2017년 미국 항공사에 배치된 Gogo 2Ku 기내 연결 시스템은 275Mbps의 최대 다운로드 속도와 소형 안테나 설계 등 한국의 시스템과 유사한 사양을 가지고 있습니다.
AAV(Advanced Air Vehicle),AAV (Advanced Air Vehicle),2026-00,항공/공군,"전기동력 추진시스템, 수직이착륙 기술",미래형,V-22 Osprey,2007-09,more advanced than Korean,18.2,high,"V-22 오스프리는 미국에서 개발된 틸트로터 항공기로, 전기 추진 및 수직 이·착륙(VTOL) 기능 등 한국의 AAV 시스템과 핵심 기술을 공유하고 있습니다."
슈퍼컴퓨터,슈퍼컴퓨터,2023-02,통신/전자,"슈퍼컴퓨터, NVIDIA A100 GPU",최신 세대,Summit supercomputer,2018-06,more advanced than Korean,4.7,high,"미국은 슈퍼컴퓨터 기술의 선도국이며, 2018년 배치된 서밋 슈퍼컴퓨터의 최대 성능은 148.6 petaflops로, 한국 시스템의 17.1 petaflops를 초과했습니다."
P-8A Poseidon 다목적 초계기,P-8A Poseidon 다목적 초계기,2022-12,항공/공군,737 상업용 부품 및 공급망,현대 다목적 초계기,P-8A Poseidon,2013-11,same,9.1,high,"P-8A 포세이돈은 미국의 한국 P-8A 포세이돈 다목적 해상 항공기와 동등한 것입니다. 미국은 2013년 11월 처음으로 P-8A 포세이돈을 배치했으며, 이는 한국의 경우와 동일한 능력 수준입니다."
캐터필러 C9.3 엔진,타이곤 차륜형 장갑차,2023-01,육상/지상,캐터필러 C9.3 엔진,3세대 차륜형 장갑차,M1126 Stryker Infantry Carrier Vehicle,2002-08,same,20.4,high,"M1126 스트라이커 보병 수송 차량은 미국의 한국 태곤 차륜 장갑 차량과 동등한 것입니다. 스트라이커는 2002년 미군에 배치되었고, 525마력 디젤 엔진과 능력을 갖추고 있습니다."
무인 선박,무인 선박,2024-12,해상/해군,"기관자동화시스템(HiCBM), 통합안전관제시스템(HiCAMS)",자율운항 선박,Autonomous Littoral Combat Ship (LCS),2020-09,same,4.2,high,미 해군이 개발한 자율 연안 전투함(LCS)은 한국의 자율 해군 선박과 가장 유사합니다. 미 해군은 자율 기능을 시험하고 배치하고 있습니다.
"['SKY Spotter', '재밍 시스템', '레이저 대공무기']",무인기 감지체계,2023-01,항공/공군,스카이 스포터,최신 드론 감지체계,Counter-Unmanned Aerial System (C-UAS) Family of Systems (FoS),2020-06,same,2.6,high,미국은 중소형 상용 드론의 증가하는 위협에 대응하기 위해 2010년대 중반부터 C-UAS FoS와 같은 대드론 기술을 개발해 왔습니다. C-UAS FoS에는 다양한 센서와 효과기가 포함되어 있습니다.
인텔샛 2Ku 시스템,엠브라에르 E190 항공기,2022-12,통신/전자,인텔샛 2Ku 시스템,최신,Gogo 2Ku,2017-10,same,5.2,high,"Gogo 2Ku 기내 연결 시스템은 2017년 10월 미국 상업 항공기에 처음 배치되었으며, 기내 엔터테인먼트를 포함한 한국 시스템과 유사한 기능을 제공합니다."
도심항공교통(UAM),도심항공교통(UAM),2025-01,항공/공군,도심항공교통(UAM) 대역기 운용 및 실증 기술,개발 초기 단계,Volocopter 2X,2017-06,same as Korean,7.6,high,"Volocopter 2X는 미국에서 2010년대 중반부터 시험 및 개발 중인 4인승 전기식 수직이착륙(eVTOL) 항공기로, R44 헬리콥터와 유사한 사양을 가지고 있습니다."
"['우주산업', 'UAM(Urban Air Mobility)']","인공위성, UAM 서비스",2025-01,"우주, UAM(Urban Air Mobility)","위성 전자광학(EO), 적외선(IR), 영상레이다(SAR) 탑재체, 초소형 위성체계, UAM 시스템",첨단 우주 및 UAM 기술,Landsat Earth Observation Satellite Program,1972-07,same,52.5,high,"미국은 1970년대부터 랜드샷 프로그램으로 시작한 운영 중인 지구 관측 위성 프로그램을 보유하고 있으며, 랜드샷 위성은 고해상도 다분광 영상을 제공하고 있습니다."
LNG·수소 혼소엔진,액화수소운반선,2025-06,해상/해군,LNG·수소 혼소엔진,개발 초기 단계,LNG/Hydrogen Dual-Fuel Carrier,2022-04,same,3.2,high,미국은 최근 몇 년 간 여러 차례 시연 및 테스트 배치를 통해 해운 분야에 적용할 수 있는 LNG/수소 이중 연료 추진 시스템을 적극적으로 개발해 왔습니다. 사양 기반으로 볼 때
차세대 위성통신,MQ-9B 스카이가디언 무인정찰기,2022-12,통신/전자,차세대 위성통신,차세대,RQ-4 Global Hawk,2001-04,more advanced than Korean,21.7,high,미국은 2001년부터 고고도 장기체공 무인항공기(HALE UAV)인 RQ-4 Global Hawk를 운영해 왔습니다. Global Hawk는 고도화된 위성 통신 기능을 갖추고 있으며
항공통제기,공중조기경보통제기 (AEW&C),2022-12,항공/공군,"탑재 레이더, 실시간 공중 작전 지휘통제 기능",최신 항공통제기 기술,E-3 Sentry AWACS,1977-03,more advanced than Korean,45.8,high,1977년 최초 배치된 미국의 E-3 Sentry AWACS 시스템은 한국의 AEW&C 시스템에 해당합니다. E-3 Sentry는 한국 AEW&C 시스템보다 더 발전된 레이더와 전투관리 기능을 보유하고 있습니다.
IS-45 위성,IS-45 위성,2025-06,우주,"적층 제조 공정, 소형 위성 기술 (HummingSat)",신기술,Lockheed Martin LM-900 Smallsat,2020-08,same,4.8,high,"LM-900 Smallsat은 Lockheed Martin이 개발한 소형 위성 플랫폼으로, 적층 제조(additive manufacturing)를 활용하여 한국의 IS-45 위성과 유사한 크기와 기능을 갖추고 있습니다."
선박 자율운항 기술,레저보트,2023-01,해상/해군,선박 자율운항 기술,2단계,Autonomous Unmanned Surface Vehicle (AUSV),2021-06,same,1.6,high,"미국은 2010년대 초부터 자율 수상 차량 기술을 개발해 왔으며, 최근에는 자율 항법, 도킹, 기본적인 임무 수행 능력을 갖춘 자율 수상 차량 시스템의 최초 운용 배치를 진행하고 있습니다."
수소모빌리티 통합형 수소충전소,"수소모빌리티 (수소차, 수소트램, 수소드론, 수소이륜차, 수소건설기계)",2022-11,기타,수소충전소,최초,Hydrogen Fueling Station,2015-08,same,7.2,high,"미국은 2000년대 초부터 수소 연료 공급 인프라 구축에 적극적으로 나서왔으며, 2015년 캘리포니아 토런스에 최초의 공공 수소 연료 충전소를 개설했습니다. 이 충전소는 약 600kg의 수소 저장 능력을 갖추고 있었습니다."
B-21 스텔스 폭격기,B-21 스텔스 폭격기,2022-12,항공/공군,스텔스 기술,5세대 폭격기,B-2 Spirit,1997-07,same,25.4,high,"B-2 Spirit은 한국의 B-21 스텔스 폭격기에 해당하는 미국 무기체계입니다. B-2는 1997년 7월 최초로 실전 배치되었으며, 이는 2022년 배치된 한국의 B-21보다 앞선 것입니다. B-2와 B-21 모두 첨단 스텔스 기술을 적용하고 있습니다."
동력분산식 고속열차 EMU-320,동력분산식 고속열차 EMU-320,2022-09,육상/지상,동력분산식 고속열차 시스템,320km/h 고속열차,Amtrak Acela Express,2000-12,same,21.8,high,2000년 도입된 Amtrak Acela Express는 최대 속도 150mph(240km/h)와 분산 동력 시스템 등의 측면에서 한국의 EMU-320과 가장 유사한 미국의 고속철도 시스템입니다.
"['UAM 기체', 'UAM 교통관리 시스템']",도심항공교통(UAM),2025-00,항공/공군,UAM 기체,상용화 추진 단계,Uber Elevate/Joby Aviation eVTOL,2023-04,same,1.7,high,미국은 Uber Elevate와 Joby Aviation과 같은 기업이 선도하는 도시 항공 모빌리티(UAM) 기술 개발에 적극적으로 참여하고 있습니다. 이 기업들은 eVTOL을 시험하고 시연해 왔습니다.
수소연료전지-배터리 하이브리드 추진 시스템,예인선,2026-00,해상/해군,수소연료전지-배터리 하이브리드 추진 시스템,2세대,Auxiliary Hybrid-Electric Propulsion System (AHEPS),2024-04,same,1.7,high,"미국 해군은 2010년대 초부터 보조 및 지원 선박에 하이브리드 전기 추진 시스템을 개발해 왔습니다. AHEPS는 수소 연료 전지와 배터리를 결합한 시스템으로, 처음 배치되었습니다."
하이로터(Hi-Rotor),선박,2022-08,해상/해군,하이로터(Hi-Rotor) - 풍력보조 추진장치,신개념,Windship Technology,2018-04,same,4.3,high,미국은 2010년대 초부터 한국의 'Hi-Rotor' 기술과 유사한 풍력 보조 추진 시스템을 개발해 왔습니다. 이러한 시스템 중 하나인 Windship Technology가 처음 배치되었습니다.
대테러작전용 다족보행로봇,다족보행로봇,2024-06,육상/지상,"4족 보행 로봇, 원격조종장치, 임무장비 (로봇팔, 원격무장통제장치, 섬광폭음탄 및 최루가스 살포기, 체온측정장치) 탈부착 기능",초기 단계,Legged Squad Support System (LS3),2013-10,same,10.7,high,"DARPA와 Boston Dynamics가 개발한 Legged Squad Support System(LS3)은 원격 조작, 기동성 등 설명된 한국 시스템과 유사한 기능을 갖춘 4족 보행 로봇 플랫폼이었습니다."
자율운항 솔루션,대형상선,2023-08,해상/해군,자율운항 솔루션,2단계 자율운항,Autonomous Maritime Vessel (AMV),2021-06,same,2.2,high,"미국은 자율 해상 선박 기술 개발에 적극적으로 참여해 왔으며, 2021년 배치된 AMV 시스템은 속도 제어, 충돌 방지 등 한국 시스템과 유사한 기능을 보여주었습니다."
전기 수직 이착륙 항공기 (eVTOL),전기 수직 이착륙 항공기 (eVTOL),2028-01,항공/공군,전기 수직 이착륙 항공기 (eVTOL),신기술/미래형,Joby Aviation eVTOL,2025-07,same,2.5,high,"미국은 eVTOL 기술의 선도국으로, Joby Aviation과 같은 기업이 2020년대 초부터 첨단 전기 수직 이착륙 항공기를 개발하고 시험해 왔습니다."
"친환경선박 전기추진시스템, 친환경 대체연료 해상실증선박",친환경선박,2024-06,해상/해군,"전기추진시스템, 친환경 대체연료","2.2MW급 전기추진시스템, 세계 최초 개발 중",Gato-class submarine,1941-12,less advanced than Korean,82.5,high,"Gato급 잠수함은 최초의 전기 추진 시스템을 갖춘 미국 잠수함으로, 디젤 발전기로 구동되는 두 대의 전기 모터를 사용했습니다. 이는 2.2MW 전기 추진 시스템에 가장 근접한 사례입니다."
수소연료전지 기반 전기 추진체계,"미래항공 모빌리티 (Advanced Air Mobility, AAM)",2025-01,항공/공군,수소연료전지 기반 전기 추진체계,미래 기술,Joby Aviation eVTOL,2024-03,same,0.8,high,미국은 전기 수직 이착륙(eVTOL) 항공기를 포함한 첨단 항공 모빌리티(AAM) 기술의 선도국입니다. 미국 기업 Joby Aviation은 eVTOL 프로토타입을 개발했습니다.
UAM (Urban Air Mobility),Urban Air Mobility (UAM),2030-06,항공/공군,"전기 수직이착륙기(eVTOL), 자율주행, 인공지능",2030년 상용화 예정,Joby Aviation eVTOL,2025-03,same,5.2,high,"조비 항공의 eVTOL은 한국 시스템에서 설명된 핵심 기술 및 사양과 일치하는 미국 개발 전기식 수직 이착륙 항공기로, 4인승을 수용할 수 있습니다."
H145 헬리콥터,H145 헬리콥터,2022-06,항공/공군,다목적 소형 헬리콥터,4세대 헬리콥터,UH-72 Lakota,2007-12,same,14.5,high,"UH-72 라코타는 미 육군의 경량 유틸리티 헬기로, 한국의 H145 헬기와 유사한 사양을 가지고 있으며 2007년에 배치되어, 한국의 2022년 배치 시기보다 이릅니다."
도심 항공 모빌리티(UAM) 기체 및 시스템,도심 항공 모빌리티(UAM) 기체 및 시스템,2024-20,항공/공군,"전기 수직 이착륙 항공기(eVTOL), 배터리 기반의 전기추진 시스템, 미래형 하이브리드 전기추진체계",차세대,Joby Aviation eVTOL,2021-04,same,4.3,high,"2020년에 처음 공개된 조비 항공의 eVTOL은 2021년에 상용화 인증을 받았으며, 전기식 수직 이착륙 기능을 포함한 핵심 기능을 한국 시스템과 일치시킵니다."
하이나스 2.0 자율운항 시스템,18만 입방미터(㎥)급 LNG운반선 '프리즘 커리지'호,2022-06,해상/해군,하이나스 2.0 자율운항 시스템,2단계 자율운항 기술,Mariner class autonomous containership,2020-03,same,2.2,high,2020년에 미국이 배치한 마리너급 자율 컨테이너선은 한국의 'Prism Courage' LNG 운반선과 하야네스 2.0 자율 항행 시스템과 유사한 기능을 가지고 있습니다.
