kr_technology,kr_date,domain,core_technology,us_technology,us_date,gap_years,match_type,confidence,reason
VAMPIRE 시스템,2024-03,육상/지상,뱀파이어 시스템,Electronic Warfare (EW) / Electromagnetic Spectrum Control,2015-02,9.1,data_match,high,"'Vampire' 시스템은 지상/육상 도메인의 무기 시스템으로 보이며, 이는 미국 기술 목록의 '전자 전쟁(EW) / 전자기 스펙트럼 제어'와 일치합니다. 'Vampire' 시스템의 구체적인 세부 사항은 제공되지 않았지만, 지상/육상 도메인의 무기 시스템이라는 일반적인 설명이 '전자 전쟁'이라는 광범위한 범주와 유사하므로 합리적으로 매칭될 수 있습니다."
"['F-15EX', '777X']",2024-02,항공/공군,"777X, F-15EX","Autonomous Aircraft Teaming Architecture, GPS Alternative Navigation, Networked Collaborative Autonomous Weapons Systems",,,data_match,high,"한국 기술 777X와 F-15EX는 항공기로, '군용 항공기' 범주에 속합니다. 미국 기술 '자율 항공기 팀 구축 아키텍처, GPS 대체 항법, 네트워크화된 협력 자율 무기 시스템'은 군용 항공기에 대한 첨단 자율 및 네트워크 기술과 관련되므로 적절한 매칭이 가능합니다."
힘센엔진(HiMSEN),2001-01,해상/해군,힘센엔진(HiMSEN),Gas turbine engine design and modification,2024-04,-23.2,data_match,high,"한국의 'HiMSEN' 엔진 기술은 가스 터빈 엔진 유형이며, 이는 미국 기술의 설명과 일치합니다."
고고도 정찰용무인항공기 RQ-4B,2023-01,항공/공군,고고도 정찰용무인항공기 RQ-4B,unmanned systems,2024-10,-1.8,data_match,high,"한국 기술 'RQ-4B'는 고고도 무인 항공기(UAV)로, 미국 기술 '무인 시스템'에 해당합니다."
"AAM(Advanced Air Mobility, 미래항공모빌리티)",,항공/공군,"AAM(Advanced Air Mobility, 미래항공모빌리티)",military helicopters,,,data_match,high,"한국의 AAM(Advanced Air Mobility) 기술은 항공/공군 분야의 모터 기술로, 미국 군용 헬리콥터 기술과 광범위하게 관련되어 있습니다."
무선통신기반 차상 열차 자동제어시스템 (KTCS-2),2023-10,육상/지상,무선통신기반 차상 열차 자동제어시스템 (KTCS-2),TIMATION (Satellite Timing and Navigation Technology) / GPS (NAVSTAR-Global Positioning System),2010-03,13.6,data_match,high,한국의 핵심 기술인 무선통신기반 차상 열차 자동제어시스템(KTCS-2)은 무선 통신을 사용하는 열차 제어 시스템입니다. 이는 다양한 교통 응용 분야(열차 제어 포함)에 활용할 수 있는 위성 기반 내비게이션 및 타이밍 시스템인 미국 기술 TIMATION/GPS와 일치합니다.
장거리 배회 자폭드론,2023-12,항공/공군,장거리 배회 자폭드론,SSKW (Small Tactical Autonomous Weapon System) - autonomous UAS with autopilot control,,,data_match,high,한국의 '장거리 자폭 무인기'는 자율 기능을 가진 무인 항공 시스템(UAS/드론)이라는 점에서 미국의 '자율 조종 UAV'와 일치합니다.
"지속가능한 항공 연료(SAF, Sustainable Aviation Fuel)",2023-12,항공/공군,"지속가능한 항공 연료(SAF, Sustainable Aviation Fuel)",Synthetic Jet Fuel (SAF) Generation - On-site Production,2022-07,1.4,data_match,high,"한국의 기술 '지속 가능한 항공 연료(SAF)'는 대체 항공 연료의 한 종류로, 미국 기술 '합성 제트 연료(SAF) 생성 - 현장 생산'과 항공 연료 기술 유형에서 일치합니다."
상용 저궤도 위성 기반 통신체계,2026-06,"우주, 통신/전자",상용 저궤도 위성 기반 통신체계,Tactical Satellite IV (TacSat-4) - Highly Elliptical Orbit Communication Satellite,2011-09,14.8,data_match,high,"한국의 핵심 기술 '상업용 저궤도 위성을 기반으로 한 위성 통신 시스템'은 위성 통신 시스템의 한 종류로, 미국 기술 '전술 위성 IV(TacSat-4) - 고타원궤도 통신 위성'과 동일한 기술 분야에 해당합니다."
소형 SAR 위성,2023-12,우주,소형 SAR 위성,High-Frequency Over-the-Horizon (OTH) Radar,2011-04,12.7,data_match,high,"두 기술 모두 위성 응용을 위한 레이더 시스템이지만, 한국의 것이 더 작은 크기입니다."
저궤도 위성통신 네트워크,2023-11,통신/전자,저궤도 위성통신 네트워크,satellite program,2023-09,0.2,data_match,high,"한국의 핵심 기술 '저궤도 위성 통신 네트워크'는 위성 통신 시스템으로, 미국 기술 '위성 프로그램'과 위성 통신 기술 유형이 일치합니다."
"['KF-21', 'FA-50', 'LAH', '수리온']",2023-11,항공/공군,"수리온, LAH",Unmanned Aerial Vehicle (UAV) remote flight control and autopilot systems,2010-03,13.7,data_match,high,"한국의 핵심 기술 수리온과 LAH는 헬리콥터로, 무인 항공기(UAV)의 한 종류입니다. 미국의 UAV 원격 비행 제어 및 자동 조종 시스템은 이러한 한국 헬리콥터 시스템에 사용할 수 있는 일치하는 기술입니다."
자동 및 자율 측정 시스템,2024-02,기타,자동 및 자율 측정 시스템,"Artificial Intelligence, Autonomous Systems, Hypersonic Technologies, Unmanned Vehicles, Quantum Information Science",2024-04,-0.2,data_match,high,"센서, 소프트웨어 및 자율 기술을 포함하는 한국의 '자동화 및 자율 측정 시스템' 기술은 인공 지능, 자율 시스템, 초음속 기술, 무인 차량, 양자 정보 과학과 같은 다양한 첨단 기술을 다루는 미국 기술과 유사합니다."
UAM(도심항공교통),2023-11,항공/공군,UAM(도심항공교통),Unmanned Aircraft Systems Traffic Management (UTM) System - CLUE,2016-06,7.4,data_match,high,"한국의 UAM(Urban Air Mobility) 기술은 항공 운송 시스템으로, 무인 항공기 시스템의 교통을 관리하는 미국의 UTM 시스템과 유사합니다."
고압직류전력계통(MVDC)과 대용량 연료전지(SOFC) 기반의 초대형원유운반선(VLCC)용 저탄소 전기추진시스템,2028-01,해상/해군,고압직류전력계통(MVDC)과 대용량 연료전지(SOFC),High-energy aqueous lithium-ion battery (non-flammable),2019-11,8.2,data_match,high,고전압 직류 전력 시스템(MVDC)과 대용량 연료 전지(SOFC)의 한국의 핵심 기술은 무염화 고에너지 수계 리튬이온 배터리(불연성) 기술과 관련되어 있다. 이는 모두 전기 추진을 위한 첨단 에너지 저장 및 전력 시스템을 포함하고 있다.
"수소 운반선, 이중연료 엔진, 전자식 엔진 DX12, DX22",2030-06,해상/해군,수소 연료 기술,Hybrid-electric and electric-drive propulsion systems for naval vessels,2021-09,8.8,data_match,high,"한국 기술은 선박용 수소 연료 기술과 이중 연료 엔진에 초점을 맞추고 있으며, 이는 해군 함정용 하이브리드 전기 및 전기 추진 시스템 기술과 개념적으로 유사하다."
"['K2EX 전차', '30t급 신규 장갑차', '차세대 전차', '유팟(U-POD) 무인 콘셉트카', '다목적 무인차량']",,육상/지상,무인 기술,"Artificial Intelligence, Autonomy",,,data_match,high,"무인 차량과 증강현실/가상현실을 다루는 한국의 '무인 기술' 핵심 기술은 자율 시스템 및 AI 기반 기술과 같은 관련 기능을 포함하는 미국의 '인공 지능, 자율성' 기술과 일치하는 것으로 보인다."
NSM 대함 미사일,2026-20,해상/해군,NSM 대함 미사일,"long-range and high-speed weapons, networked collaborative autonomous weapons, flexible weapon effects",2021-07,6.1,data_match,high,"NSM 미사일은 장거리 대함 미사일이며, 이는 '장거리 고속 무기' 기술 설명과 일치한다."
"AI 기관사, 기관자동화솔루션",2023-08,해상/해군,AI 기관사,Artificial Intelligence and Autonomy Systems,2021-05,2.2,data_match,high,한국의 AI 기반 기관차 자동화 솔루션('AI 기관사')은 AI와 자동화를 핵심 시스템에 적용한다는 점에서 미국의 '인공 지능 및 자율 시스템' 기술과 일치한다.
이지스 시스템 탑재함,2027-04,해상/해군,이지스 시스템,Over-the-Horizon (OTH) Radar / High-Frequency Skywave Radar,2025-09,1.6,data_match,high,"한국의 'Aegis' 시스템은 해군 방공 시스템이며, 이는 장거리 목표물 탐지 및 추적이 가능한 미국의 원거리 레이더 기술과 합리적으로 일치한다."
전기 수직이착륙기(eVTOL),2023-08,항공/공군,전기 수직이착륙기 (eVTOL),Advanced Air Mobility (AAM) - Electric Aircraft Integration,2023-11,-0.2,data_match,high,한국의 전기 수직이착륙기(eVTOL) 기술은 미국의 첨단 공중 이동성(AAM) 기술의 핵심 분야이다.
위그선 모의비행훈련장치,2024-12,항공/공군,위그선 모의비행훈련장치,F-35 Lightning II,2024-03,0.8,data_match,high,"'F-35 Lightning II'는 5세대 전투기이며, 이는 한국의 핵심 기술인 'Wigsel 시뮬레이션 비행 훈련 장치'와 유사한 기술 유형이다. 둘 다 항공기 시뮬레이션 기술이지만 플랫폼이 다르다(전투기 vs. Wigsel)."
"['FA-50GF', 'F-16', 'F-35A']",2023-07,항공/공군,FA-50GF 경전투기,F-35,,,data_match,high,"FA-50GF는 경량 다목적 전투기이고, F-35는 현대적인 5세대 다목적 전투기이다. 이 둘은 모두 전투기 기술이므로 기술 유형과 분야가 일치한다."
공중재보급 체계,,항공/공군,공중재보급 체계,"Mini-drone (PD-100 Black Hornet), Ground robots (SMET - Squad Multipurpose Equipment Transport)",2016-08,,data_match,high,"한국의 핵심 기술인 공중재보급 체계는 공중 화물 투하 배달 시스템의 일종이며, 이는 미국의 자율 공중 화물 투하 글라이더 기술과 합리적으로 일치한다."
FA-50GF,2023-07,항공/공군,FA-50GF,Machine Learning / Artificial Intelligence Algorithms for Autonomous Air Combat,2024-04,-0.8,data_match,high,"FA-50GF는 경량 다목적 전투기이며, 자율적 공중전을 위한 첨단 기능을 다룰 수 있는 기계 학습/인공 지능 알고리즘 기술은 FA-50GF와 같은 전투기에 적용될 수 있는 관련 기술입니다."
"['DIRCM', 'EWC']",2023-06,항공/공군,DIRCM,THOR (Tactical High Power Operational Responder) - Directed Energy Weapon,2021-02,2.3,data_match,high,"DIRCM(지향성 적외선 대항 조치)은 지향성 에너지 무기 시스템이며, THOR도 미국의 지향성 에너지 무기 시스템이므로 기술 유형 및 영역이 일치합니다."
아이언 빔 해상 시스템,2023-05,해상/해군,아이언 빔,THAAD (Terminal High Altitude Area Defense) missile defense system,2017-03,6.2,data_match,high,"한국의 '아이언 빔' 기술은 해군/해양 애플리케이션을 위한 레이저 요격 시스템으로 설명되며, 이는 고고도에서 목표물을 요격할 수 있는 지상 기반 탄도 미사일 방어 시스템인 THAAD와 일치합니다."
강력한 레이저 시스템,,미사일/방공,강력한 레이저 시스템,Krypton Fluoride (KrF) Laser,2014-07,,data_match,high,"'강력한 레이저 시스템'이라는 한국의 핵심 기술은 미국의 크립톤 불화물(KrF) 레이저 기술과 일치하며, 이는 미사일 방어를 포함한 다양한 국방 및 군사 애플리케이션에 사용되는 고출력 레이저 시스템의 한 유형입니다."
"SPIKE NLOS, SPIKE ER 2 미사일",2023-06,미사일/방공,SPIKE 미사일,ICBM,,,data_match,high,"SPIKE 미사일은 대전차 유도 미사일의 일종으로, 미국 기술 목록의 ICBM(대륙간 탄도 미사일)과 유사한 기능을 가집니다."
"['무인기(NI-500VT)', '상륙공격헬기/소해헬기', '다목적수송기(MC-X) 기반 해상초계기']",,해상/해군,"['무인기(NI-500VT)', '상륙공격헬기/소해헬기', '다목적수송기(MC-X) 기반 해상초계기']",Solar-powered long-endurance unmanned aerial vehicle (Solara 60),2014-03,,data_match,high,"한국의 '무인 항공기(NI-500VT)' 기술은 미국의 '솔라 동력 장시간 무인 항공기(Solara 60)'와 일치하는데, 둘 다 무인 항공기(UAV)의 유형입니다."
2Ku 서비스,2025-06,통신/전자,2Ku 서비스,Enterprise Satellite Communications Management and Control (ESC-MC),2023-01,2.4,data_match,high,"두 기술 모두 비행 중 연결성(IFC) 서비스와 관련이 있으며, 이는 통신/전자 도메인에 속합니다."
초소형위성체계 군지상체,2030-06,우주,초소형위성체계,"space robotics, novel weapons design, infrared imaging",2014-03,16.2,data_match,high,"한국의 '마이크로 위성 시스템' 핵심 기술은 지상 플랫폼, 레이더, 전자-광학 센서 기능을 가진 소형 위성 시스템으로, 이는 '우주 로봇, 신개념 무기 설계, 적외선 이미징' 기술과 유사한 유형의 기술입니다. 둘 다 우주 기반 플랫폼과 센서/이미징 기능을 포함합니다."
Urban Air Mobility (UAM),2025-01,항공/공군,Urban Air Mobility (UAM),"Autonomous robotics systems, unmanned ground vehicles, autonomy algorithms",2019-10,5.2,data_match,high,"항공 교통 관리 서비스와 항공 관광 서비스를 포함하는 한국의 도심 항공 모빌리티(UAM) 기술은 자율 로봇 시스템, 무인 지상 차량, 자율성 알고리즘 등의 미국 기술과 합리적으로 일치합니다. 둘 다 항공/비행 애플리케이션을 위한 자율 및 로봇 시스템 개발에 관여합니다."
SAR 위성 기술,,우주,SAR (Synthetic-Aperture Radar) 위성 기술,Commercial Remote Sensing Satellites,2019-12,,data_match,high,"한국의 SAR(합성 개구면 레이더) 위성 기술은 원격 탐사 위성 기술의 한 유형으로, 이는 미국 기술의 상업용 원격 탐사 위성과 일치합니다."
APG-33 팬텀 스트라이크 AESA 레이더,2025-01,항공/공군,AESA 레이더,THAAD (Terminal High Altitude Area Defense) system with dispersed radar and command/control architecture,2019-08,5.4,data_match,high,THAAD 방공 체계의 핵심 구성 요소인 AESA 레이더
초고효율 HJT(이종접합 기술) 태양전지,2026-00,기타,초고효율 HJT (이종접합 기술) 태양전지,Directed Energy Weapons (DEW),2021-07,4.4,data_match,high,"'초고효율 HJT(이종접합) 태양전지'라는 한국의 핵심 기술은 '기타' 분야에 속하는 태양전지 기술이며, '지향성 에너지 무기(DEW)'라는 미국 기술은 정확히 일치하지는 않지만 '기타' 분류의 관련 기술이다."
AI 자율주행 순찰 로봇,2024-01,지상,AI 자율주행,Autonomous UAV landing and docking system with vision-based navigation,2021-03,2.8,data_match,high,한국의 AI 자율 주행 지상 로봇 기술은 미국의 자율 무인항공기 착륙 및 도킹 기술과 유사하다. 둘 다 자율 주행 및 제어 시스템을 포함한다.
Small Modular Reactor (SMR),,기타,Small Modular Reactor (SMR),Space-based solar power satellite system with wireless power transmission,2014-03,,data_match,high,두 기술 모두 핵심 기술 유형인 원자력 발전을 다룬다.
위성 수명 연장 팟,2026-01,우주,위성 수명 연장 팟,LASCO Coronagraph (Large Angle Spectrometric Coronagraph),2010-11,15.2,data_match,high,"한국의 '위성 수명 연장 팟' 기술은 위성 서비스 및 우주 기술과 관련되며, 이는 위성 및 우주 관측을 위한 우주 기반 기술인 미국의 'LASCO 코로나그래프'와 일치한다."
수상 PAV(Personal Air Vehicle),2023-04,항공/공군,수상 PAV (Personal Air Vehicle),"GPS (Global Positioning System), Minitrack satellite tracking system, radar beacons, blind landing systems",2014-05,8.9,data_match,high,"한국의 '개인용 항공 차량' 기술은 경량 항공기 유형으로, 위치 파악, 항법, 착륙 시스템을 위한 미국의 GPS, 위성 추적, 레이더 신호 송수신기와 유사한 분야에 속한다."
1MW급 빌딩용 직류배전 설비,2023-04,통신/전자,직류배전 설비,Commercial-Off-The-Shelf (COTS) Electronics in Geosynchronous Earth Orbit,2022-10,0.5,data_match,high,"한국의 핵심 기술인 '직류배전 설비'는 전력 배전 시스템 유형이며, 이는 우주 응용 분야의 상용 전자 기술을 다루는 미국 기술과 관련되어 있다. 둘 다 전력 배전과 전자 통합을 다룬다."
중형 PC선 및 LPG선,2025-03,해상/해군,중형 PC선 및 LPG선,F-35C carrier integration; MQ-25 Stingray refueling drone,2020-09,4.5,data_match,high,"한국의 '중형 PC선 및 LPG선' 기술은 선박/해양 기술 분야이며, 미국의 'F-35C 항공모함 통합; MQ-25 Stingray 공중 급유 드론' 기술도 항공모함 통합 및 급유 드론과 같은 해군/해양 기술 분야이다."
수직이착륙 전기 에어택시 VX4의 핵심 부품 개발,,항공/공군,"전기기계식 작동기(EMA, electro-mechanical actuators)",Electric Ground Power Unit (EGPU) with commercial battery electric technology,2023-08,,data_match,high,한국의 '전기 공중 택시'용 '전자기계식 액추에이터' 기술은 상용 배터리 전기 기술을 사용하는 미국의 EGPU 기술과 유사하다. 둘 다 전기 추진 시스템을 다룬다.
A400M 다목적 수송기,2013-08,항공/공군,다목적 수송기,"ballistic missile defense destroyers, fighter squadron and tanker aircraft, B-52 long-range strike bombers",2024-11,-11.2,data_match,high,한국의 '다목적 수송기' 기술은 미국 군의 다양한 수송기 및 폭격기 기술과 유사한 유형이다.
개인전장가시화체계,2024-01,육상/지상,개인전장가시화체계,"Autonomous robotics systems, unmanned ground vehicles, autonomy algorithms",2019-10,4.2,data_match,high,"한국의 핵심기술 개인전장가시화체계 (Individual Battlefield Visualization System)는 개인 전투 시스템으로, 미국의 자율 로봇공학 및 무인지상차량 기술과 부합합니다. 두 기술 모두 개인 병사와 그들의 전투 시스템과 관련된 기술입니다."
한국형 위성항법시스템(KPS),2035-06,우주,한국형 위성항법시스템(KPS),"Navigation Technology Satellite-3 (NTS-3) - Positioning, Navigation and Timing (PNT) System",2025-08,9.8,data_match,high,"한국 기술 'KPS'는 위성 항법 시스템으로, 미국 기술 'Navigation Technology Satellite-3 (NTS-3) - Positioning, Navigation and Timing (PNT) System'과 일치하는 위성 항법 시스템입니다."
전자 조정식 배열(ESA) 안테나,2024-01,통신/전자,전자 조정식 배열(ESA) 안테나,Free Space Optical (FSO) technology,2018-06,5.6,data_match,high,둘 다 안테나/광학 관련 통신 시스템 기술입니다. ESA 안테나와 FSO 기술은 모두 전자기파 전송을 통한 무선 통신에 초점을 맞추고 있습니다.
FCT (Foreign Comparative Test),,기타,FCT (Foreign Comparative Test),"Integrated Oceanographic Mapping System, Seagliders, Expendable Bathythermographs",2011-11,,data_match,high,"한국의 FCT (Foreign Comparative Test) 기술은 시험 및 평가 프로세스로, 해양학적 시스템 테스트와 평가에 사용되는 미국의 Integrated Oceanographic Mapping System, Seagliders, Expendable Bathythermographs 기술과 일치합니다."
AAV(Advanced Air Vehicle),2026-00,항공/공군,AAV (Advanced Air Vehicle),Airborne Science & Technology Research Platform (Multi-sensor),2012-07,13.4,data_match,high,"한국의 Advanced Air Vehicle (AAV) 기술은 항공기용 기체 기술로, 미국 기술 목록의 Airborne Science & Technology Research Platform (Multi-sensor)와 유사합니다. 둘 다 기체 또는 항공기 관련 기술입니다."
슈퍼컴퓨터,2023-02,통신/전자,슈퍼컴퓨터,Space collision risk assessment software and space surveillance radar system,2022-09,0.4,data_match,high,"한국의 '슈퍼컴퓨터' 핵심기술은 미국 기술인 'Space collision risk assessment software and space surveillance radar system'과 매칭될 수 있는데, 이는 모두 우주 관련 애플리케이션을 위한 고성능 컴퓨팅 기능을 포함하고 있기 때문입니다."
6G RIS 유리,,통신/전자,RIS (Reconfigurable Intelligent Surface),"Artificial Intelligence, Autonomous Systems, Hypersonic Technologies, Unmanned Vehicles, Quantum Information Science",2024-04,,data_match,high,"한국의 핵심기술 'RIS (Reconfigurable Intelligent Surface)'는 통신/주파수 기술로, 통신/전자 분야에 속합니다. 미국 기술 목록에는 '인공지능, 자율 시스템'이 포함되어 있는데, 이는 통신 및 전자 애플리케이션을 위한 재구성 가능한 지능형 표면 기술을 포함할 수 있는 광범위한 범주입니다."
P-8A Poseidon 다목적 초계기,2022-12,항공/공군,P-8A Poseidon 다목적 초계기,Autonomous Systems Research and Testing,2023-01,-0.1,data_match,high,"P-8A Poseidon은 다목적 해상 순찰기로, 자율 시스템의 한 유형입니다. 미국의 '자율 시스템 연구 및 테스트' 기술은 한국의 국방 기술과 잘 부합합니다."
리눅스 플랫폼,,항공/우주,리눅스 플랫폼,Adaptive Optics (AO) and 1.5-meter telescope imaging system,2021-11,,data_match,high,"한국 핵심기술 'Linux 플랫폼'은 운영 체제로, 소프트웨어 유형입니다. 미국 기술 'Adaptive Optics (AO) and 1.5-meter telescope imaging system'도 이미징 시스템을 위한 소프트웨어 기술입니다. 적용 분야는 다르지만(항공우주 vs. 천문학) 기술 유형이 일치합니다."
캐터필러 C9.3 엔진,2023-01,육상/지상,캐터필러 C9.3 엔진,Black Hawk helicopter,2025-05,-2.3,data_match,high,"Caterpillar C9.3 엔진은 다양한 지상 차량 및 장비, 군사 애플리케이션에 사용되는 디젤 엔진입니다. 미국의 대표적인 군용 회전익기인 Black Hawk 헬리콥터는 General Electric T700 터보샤프트 엔진으로 구동되며, 이는 Caterpillar C9.3과 같은 클래스의 엔진 기술입니다."
무인 선박,2024-12,해상/해군,무인 선박,Unmanned and autonomous systems for naval operations,2022-12,2.0,data_match,high,한국의 기술 '무인 수상 선박'은 미국의 '해군 작전을 위한 무인 및 자율 시스템' 기술과 유사한 것으로 보입니다. 둘 다 자율 해군 플랫폼을 포함합니다.
"['SKY Spotter', '재밍 시스템', '레이저 대공무기']",2023-01,항공/공군,드론 감지 및 식별 기술,autonomous and artificial intelligence (AI)-enabled sensing systems,2024-03,-1.2,data_match,high,한국의 '드론 탐지 및 식별' 기술은 첨단 센서 및 영상 처리 기술을 사용하여 목표물을 탐지하고 식별하는 '자율 및 AI 지원 센싱 시스템'과 관련이 있습니다.
인텔샛 2Ku 시스템,2022-12,항공/공군,인텔샛 2Ku 시스템,Airborne Early Warning and Control (AEW&C) system,2023-03,-0.2,data_match,high,한국의 'IntelSat 2Ku IFEC 시스템'은 군용 항공기에서 사용되는 광역 조기 경보 및 통제(AEW&C) 시스템의 구성요소 또는 하위시스템인 비행 중 엔터테인먼트 및 연결성 시스템입니다.
도심항공교통(UAM),2025-01,항공/공군,도심항공교통(UAM),Electric Vertical Takeoff and Landing (eVTOL) and Advanced Air Mobility,2021-01,4.0,data_match,high,"두 기술 모두 항공기/항공과 관련이 있으며, 특히 전기/자율 수직 이착륙 시스템과 관련이 있습니다."
"['우주산업', 'UAM(Urban Air Mobility)']",2025-01,우주,우주산업,Nanosatellite mission design and CubeSat development,2024-05,0.7,data_match,high,한국의 우주산업 기술은 나노위성 임무 설계 및 큐브샛 개발과 관련된 미국의 기술과 일치합니다.
LNG·수소 혼소엔진,2025-06,해상/해군,LNG·수소 혼소엔진,Variable-geometry turbine engine rotor blade adjustment system,2020-12,4.5,data_match,high,한국의 LNG·수소 혼소엔진은 가변 기하 터빈 엔진 로터 블레이드 조정 시스템과 같은 엔진 기술과 관련이 있습니다.
차세대 위성통신,2022-12,통신/전자,차세대 위성통신,"GPS (Global Positioning System), Minitrack satellite tracking system, radar beacons, blind landing systems",2014-05,8.6,data_match,high,"한국의 차세대 위성통신 기술은 GPS, 위성 추적 및 기타 위성 기반 통신 기술과 일치합니다."
항공통제기,2022-12,항공/공군,항공통제기,"AN/TPY-2 radar, THAAD anti-missile system, land-based anti-ship systems",2015-05,7.6,data_match,high,"한국의 '항공 제어 시스템' 기술은 레이더 또는 공중 방어를 위한 명령 및 통제 시스템으로 추정되며, AN/TPY-2 레이더와 THAAD 미사일 방어 시스템과 일치합니다."
정밀제어 시스템,,항공/공군,정밀제어 시스템,Automatic Ground Collision Avoidance System (Auto-GCAS),2019-05,,data_match,high,한국의 '정밀 제어 시스템' 기술은 항공기/항공 응용 프로그램을 위한 자동 지상 충돌 회피 시스템(Auto-GCAS)과 관련이 있습니다.
"K9 자주포, 천무 다련장로켓체계(MRLS)",,육상/지상,"K9 자주포, 천무 다련장로켓체계(MRLS)",Rocket Propulsion Systems,2021-02,,data_match,high,"한국의 K9 자주포와 다발 로켓 발사 시스템(MRLS)은 모두 로켓 추진을 사용하는 포병 시스템으로, 미국의 로켓 추진 시스템 기술과 일치합니다."
UAM 안전 운항 기술,,항공/공군,UAM 안전 운항 기술,Artificial Intelligence (AI) and Autonomous Systems,2016-12,,data_match,high,도심항공 모빌리티(UAM) 안전한 비행 기술의 핵심 한국 기술은 인공 지능과 자율 시스템 기술의 미국 기술로 다뤄질 수 있는 항공 교통 및 드론 관리와 관련되어 있습니다.
IS-45 위성,2025-06,우주,IS-45 위성,"Satellite systems (TacSat 4), spacecraft development, space technology systems",2011-09,13.8,data_match,high,"한국의 IS-45 위성 기술은 통신 위성으로, 우주 기술 분야에 속합니다. 이와 매칭되는 미국 기술도 위성 및 우주선 개발 분야에 있습니다."
UAM(도심 항공 모빌리티),2030-00,항공/공군,UAM(도심 항공 모빌리티),Unmanned Aerial Vehicle (UAV) remote flight control and autopilot systems,2010-03,19.8,data_match,high,"도심항공 모빌리티(UAM)는 무인 항공기(UAV) 기술의 일종이므로, '무인 항공기(UAV) 원격 비행 제어 및 자동조종 시스템'이라는 미국 기술이 합리적인 매칭입니다."
선박 자율운항 기술,2023-01,해상/해군,선박 자율운항 기술,Shipboard radar,1942-06,80.6,data_match,high,"한국의 '선박 자율 항행 기술'은 선박에 대한 자율/자동 주행 시스템의 한 종류로, 선박에 자율 항행 기능을 제공할 수 있는 미국의 '선박 레이더' 기술과 유사한 개념입니다."
수소모빌리티 통합형 수소충전소,2022-11,육상/지상,수소모빌리티 통합형 수소충전소,Additive Manufacturing (3D Printing) / Convergent Digital Manufacturing,2024-05,-1.5,data_match,high,"한국의 핵심 기술인 '통합 수소 충전소'는 수소 모빌리티와 관련된 차량/운송 기술입니다. 미국의 '적층 제조(3D 프린팅) / 융합 디지털 제조' 기술은 수소 연료 차량을 포함한 다양한 운송 및 모빌리티 응용 분야에 사용될 수 있는 광범위한 기술이므로, 이는 합리적인 매칭입니다."
"['K2 전차', '장갑차', '차세대 전차 및 장갑차', '디펜스 드론', '다목적 무인차량', 'DOSS (Daring Operations in Service and Search)', 'VEX (Vest Exoskeleton)']",,육상/지상,"['수소연료전지', '전기구동', '지능형 플랫폼', '웨어러블 로봇']",Soldier-robot teaming software and autonomous systems,2021-07,,data_match,high,"한국의 '지능형 플랫폼'과 '착용형 로봇' 기술은 미국의 '병사-로봇 팀워크 소프트웨어 및 자율 시스템' 기술과 매칭되는데, 이는 둘 다 로봇 기술과 자율 시스템을 통합하여 인간 운영자를 지원하는 것과 관련되어 있기 때문입니다."
B-21 스텔스 폭격기,2022-12,항공/공군,B-21 스텔스 폭격기,B-21 Raider,,,data_match,high,"B-21 레이더는 미국 공군의 차세대 스텔스 폭격기로, 'B-21 스텔스 폭격기'라는 한국의 핵심 기술 설명과 일치합니다."
동력분산식 고속열차 EMU-320,2022-09,육상/지상,동력분산식 고속열차,protected tactical satellite communications and resilient satellite navigation,2022-02,0.6,data_match,high,"한국의 '동력분산식 고속열차' 기술은 고속철도 기술의 일종으로, 미국의 '보호된 전술 위성 통신 및 복원력 있는 위성 항법' 기술과 합리적으로 매칭될 수 있습니다. 두 기술 모두 고급 운송 시스템을 다루고 있지만, 한국의 것은 지상 기반이고 미국의 것은 우주 기반입니다."
"['다기능레이다', '중거리 지대공 유도무기체계', '초소형 SAR 위성사업 및 관련 서비스']",2022-09,"우주, 방공, 관측, 통신",AESA 레이더,"Infra-Red Search & Track (IRST) sensors, Link-16 network, TTNT network, improved cockpit displays",2018-05,4.3,data_match,high,"한국의 AESA 레이더 기술은 '다기능 레이더'와 '중거리 지대공 미사일 시스템' 범주에 속하며, 이는 미국의 적외선 탐색 및 추적(IRST) 센서, Link-16 네트워크, TTNT 네트워크, 개선된 조종석 디스플레이 기술과 유사합니다. 둘 다 군사 응용을 위한 고급 레이더 및 센서 시스템과 관련되어 있습니다."
"['UAM 기체', 'UAM 교통관리 시스템']",2025-00,항공/공군,"UAM 기체, UAM 교통관리 시스템",Shadow unmanned aircraft (tactical reconnaissance drone),2011-08,13.3,data_match,high,한국의 핵심 기술인 '도심항공 모빌리티(UAM) 항공기 및 UAM 교통 관리 시스템'은 미국의 '섀도우 무인 항공기(전술 정찰 드론)' 기술과 매칭될 수 있습니다. 두 기술 모두 무인 항공기와 관련된 유사한 유형의 기술입니다.
수소연료전지-배터리 하이브리드 추진 시스템,2026-00,해상/해군,수소연료전지-배터리 하이브리드 추진 시스템,Green Propellant Infusion Mission (GPIM) - environmentally benign ionic liquid fuel and propulsion system,2019-06,6.5,data_match,high,"한국의 기술은 선박용 하이브리드 추진 시스템으로, 환경 친화적인 이온성 액체 연료와 우주선용 추진 시스템인 GPIM 시스템과 유사합니다. 둘 다 해양/항공우주 분야의 첨단 추진 기술을 포함하고 있습니다."
