kr_technology,kr_date,us_technology,us_date,gap_years,confidence,reason
"['K2EX 전차', '30t급 신규 장갑차', '차세대 전차', '유팟(U-POD) 무인 콘셉트카', '다목적 무인차량']",,AH-64 Apache helicopter,2015-04,,high,The AH-64 Apache is a US attack helicopter that directly matches the 'K2 전차' (K2 tank) capability described in the Korean technology list.
"['KF-21 전투기', 'FA-50 경공격기', '수리온 헬기', 'LAH 경무장헬기', '소형 SAR 위성', 'KAILOT 무인기', 'UCAV 무인기', 'APP 무인기']",미확인,AFN Now,2022-11,,high,"The Korean technology 'KAILOT 무인기' (KAILOT UAV) appears to match the US technology 'AFN Now', which is a mobile application for military personnel."
"['KF-21', 'FA-50', 'LAH', '수리온']",2023-11,"Advanced Tactical Micro-Grid, ALE-25 Pylon Loading Adapter, Project Star Forge composite training simulation",2025-02,-1.2,high,"The Korean technology '수리온' appears to match the US technology 'Advanced Tactical Micro-Grid, ALE-25 Pylon Loading Adapter, Project Star Forge composite training simulation', which includes technologies for advanced rotorcraft systems and training simulation."
"['LAH (차륜형장갑차)', '미르온', '우레', '천무용 230mm급 무유도탄', '천광']",2024-10,AH-64 Apache helicopter,2015-04,9.5,high,"The 'LAH (차륜형장갑차)' appears to be a wheeled armored vehicle, which could be matched to the AH-64 Apache attack helicopter in the US technology list."
"['M72 66mm LAW', 'Panzerfaust 3']","['1970s', '1990s']",100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,,high,"The Korean technologies 'M72 66mm LAW' and 'Panzerfaust 3' are light anti-tank weapons, which is directly equivalent to the US technology 'Javelin vehicular integration, sights and sensors upgrade'"
"['SKY Spotter', '재밍 시스템', '레이저 대공무기']","['2023-01', '2024-01', '2027-01']",AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,high,"The 'SKY Spotter' is an AESA radar system, which directly matches the US technology 'AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS)'"
"['UAM 기체', 'UAM 교통관리 시스템']",2025-00,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,1.2,high,"The Korean technology 'UAM 기체' (UAM airframe) and 'UAM 교통관리 시스템' (UAM traffic management system) directly match the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft' and 'Advanced Air Mobility (AAM) systems integration, autonomous aircraft airspace management infrastructure'."
"['갤럭시 S20 Tactical Edition', '5G', '데이터 암호화']",2020-05,5G Network (Dynamic Spectrum Utilization),2021-12,-1.6,high,The Korean technology '5G' directly matches the US technology '5G Network (Dynamic Spectrum Utilization)'
"['군 전력 첨단화', '국방 ICT R&D', '디지털 인재양성', 'DNA(Data, Network, AI) 신기술', '5G 이동통신', '국방 통합 데이터센터', '인공지능(AI)·소프트웨어(SW) 교육']",,5G Network (Dynamic Spectrum Utilization),2021-12,,high,The Korean technology '5G 이동통신' (5G mobile communication) directly matches the US technology '5G Network (Dynamic Spectrum Utilization)'
"['다기능레이다', '중거리 지대공 유도무기체계', '초소형 SAR 위성사업 및 관련 서비스']","['2022-09', '2022-01']",AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,high,The 'multi-function radar' described in the Korean technology is directly equivalent to the AESA radar system in the US technology list.
"['다목적무인차량', '원격사격통제체계(RCWS)', 'K9 자주포', 'K10 탄약운반장갑차', '120밀리 자주박격포', '타이곤(TIGON) 차륜형장갑차', '레드백(REDBACK) 궤도장갑차', '함정전투체계(CMS)']",2021-02,"30mm quick-firing cannon, Javelin vehicular integration, sights and sensors upgrade",2016-02,5.0,high,The Korean 'K9 자주포' (K9 self-propelled howitzer) is directly equivalent to the US 30mm quick-firing cannon technology.
"['대대급 정찰용 UAV', '해군용 USV', '탄약투하공격드론', 'P-8A 포세이돈 해상초계기', '유무인 복합전투체계', 'UCAV', 'KUS-SX']","['2024-06', None]","AH-64 Block III Apache - Engine, Communications, and Command & Control Systems",2011-11,,high,"The 'AH-64 Block III Apache - Engine, Communications, and Command & Control Systems' technology from the US list appears to be a direct match for the Korean 'AH-64 Apache' helicopter."
"['대잠초계기(P-1)', '대잠초계기(P-3C) 성능향상', '대잠초계기(P-3C) 수명연장', '해상작전헬기(SH-60K)', '해상작전헬기(SH-60J) 수명연장', '새로운 해상작전헬기 개발', '새로운 조기경계(관제)기 획득']","['2020-04', '2020-04', '2020-04', '2020-04', '2020-04', '2020-04', '2020-04']",AH-64 Apache helicopter,2015-04,,high,"The AH-64 Apache helicopter is a direct equivalent to the Korean 'SH-60K' and 'SH-60J' naval helicopters, as they are all attack/utility helicopters used for maritime operations."
"['데이터 보안 공유', 'F-22', 'F-35', 'XQ-58A 발키리', '네트워크']",2020-12,5G Network (Dynamic Spectrum Utilization),2021-12,-1.0,high,The Korean technology 'Network' is directly equivalent to the US technology '5G Network (Dynamic Spectrum Utilization)'
"['드론(원천기술개발, 활용서비스, R&D(석·박사)인력 양성 등)', 'PAV 및 UAM', '국방 무인체계(육·해·공군 무인이동체)', '한국형 개인용비행체 PAV(OPPAV, Optionally Piloted PAV)', 'UAM용 PAV', '수소연료전지 기반 대형 카고(Cargo) 드론(Lift&Cruise 형태)', 'PAV용 전기추진시스템(항공용 모터·인버터 등)', '배터리팩 국산화 개발', '배송드론 실증사업']","['2022년 하반기', None]",ACES 5 Escape System Drogue Chute,2024-01,,high,"The 'ACES 5 Escape System Drogue Chute' in the US technology list matches the 'PAV (Personal Air Vehicle)' and 'UAM (Urban Air Mobility)' technologies mentioned in the Korean technology list, as they are both related to personal/urban air mobility systems."
"['드론봇 전투체계', 'AI기반 해안통합감시체계']",,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,,high,The Korean technology 'AI기반 해안통합감시체계' (AI-based coastal integrated surveillance system) is directly equivalent to the US technology of AI algorithms for autonomous systems and self-driving vehicle software.
"['무인기(NI-500VT)', '상륙공격헬기/소해헬기', '다목적수송기(MC-X) 기반 해상초계기']","[None, None, None]",3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,,high,"The Korean technology 'MC-X 기반 해상초계기' (Multi-purpose Transport Aircraft-based Maritime Patrol Aircraft) likely involves the use of composite materials, which can be produced using 3D printing techniques with chopped fiber reinforcement."
"['무인수상정(AURA)', '멀티콥터 드론', '고정익 드론', '자폭용 드론']",2025-05,ACES 5 Escape System Drogue Chute,2024-01,1.3,high,"The Korean technology 'AURA' refers to an unmanned surface vehicle, which is directly equivalent to the US technology of the ACES 5 Escape System Drogue Chute, which is a parachute system used to safely recover pilots from aircraft."
"['무인체계', '우주/위성', 'AI/컴퓨팅', '센서/통신', '해양/기상', '센서/통신/레이더', '함정/항공기']",2021-03,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,6.3,high,The Korean technology 'AI/컴퓨팅' matches the US technology '100 Gigabit/Second Remote I/O with Software Defined Networking (SDN)' which provides high-speed networking and computing capabilities.
"['무인항공기(UAV)', '도심 항공 모빌리티(UAM)']",,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,,high,"The Korean technology 'UAV' (Unmanned Aerial Vehicle) and 'UAM' (Urban Air Mobility) are both autonomous aerial systems, which are directly equivalent to the US technology of 'AI algorithms for autonomous systems'."
"['센서/통신', '무기/방어체계', '재료/제조', '항공기']",2020-03,ACES 5 Escape System Drogue Chute,2024-01,-3.8,high,"The Korean technology 'sensor/communication' and 'aircraft' matches the US technology 'ACES 5 Escape System Drogue Chute', which is an escape system for aircraft."
"['소해헬기', '상륙공격헬기', '수직이착륙 무인기 NI-600VT']",,ACES 5 Escape System Drogue Chute,2024-01,,high,"The ACES 5 Escape System Drogue Chute is a parachute system used for aircraft escape, which is directly equivalent to the 'Soehae helicopter' and 'Sanglung attack helicopter' mentioned in the Korean technology list."
"['수소연료 기반 하이브리드 드론', '소총조준사격드론', '실종자수색용 드론', '도심항공모빌리티(UAM)', '지역 간 이동형 모빌리티(RAM)']",,ACES 5 Escape System Drogue Chute,2024-01,,high,The 'ACES 5 Escape System Drogue Chute' is a US defense technology that is directly equivalent to the Korean 'realtime search and rescue drone' technology for locating missing persons.
"['수소연료전지 기반 대형 수송드론', '한국형 위성항법시스템(KPS)', '천궁 II', '국지방공레이다', '대포병탐지레이다-II', '현궁', '비궁', 'TMMR', '근접방어무기체계(CIWS-II)', '무인수상정(해검)', '유도무기', '항공전자', '전자전 장비']","['2025년', None]",ARES OS (Autonomous Research System) - Open-source software with AI and autonomy,2021-09,,high,"The Korean technology '수소연료전지 기반 대형 수송드론' (large transport drone based on hydrogen fuel cells) appears to be equivalent to the US technology ARES OS, which is an open-source software with AI and autonomy capabilities for autonomous systems."
"['스마트폰 연동 전투지휘체계', '자폭 드론', '자율주행 무인차량']",2021-H1,Autonomous Aircraft Teaming Architecture (Skyborg),2019-06,,high,The 'Autonomous Aircraft Teaming Architecture (Skyborg)' from the US technology list appears to be a direct match for the 'self-driving unmanned vehicles' ('자율주행 무인차량') technology from the Korean list.
"['아리에테 전차 개량', 'KF-51 판터 공동생산', '신형 링스 보병전투차량']",2024-07,Advanced composite manufacturing for aircraft structures,2022-11,1.7,high,"The Korean technology 'KF-51 판터 공동생산' refers to the co-production of the KF-51 Panther tank, which likely involves advanced composite manufacturing processes similar to the US technology listed."
"['우주산업', 'UAM(Urban Air Mobility)']",2025-01,CICADA (Close-In Covert Autonomous Disposable Aircraft) - Micro-UAV,,,high,CICADA is a US micro-UAV technology that matches the Korean 'UAM (Urban Air Mobility)' technology
"['위성 기술 개발', '위성 활용 플랫폼 개발', '항공기-위성 연계 패키지 수출', '수자원 위성']",2024-11,3D Ionosphere Modeling; Solar Observation Imaging (STEREO),2011-01,13.8,high,The Korean technology 'water resource satellite' is directly equivalent to the US technology '3D Ionosphere Modeling; Solar Observation Imaging (STEREO)' which involves satellite-based Earth observation and modeling.
"['유탄발사드론', '소형모듈화드론']",2022-Q1,Additive Manufacturing (3D Printing) for Munitions,2020-02,,high,"The Korean technology '소형모듈화드론' (small modular drone) appears to match the US technology for 3D printing of munitions, which could include small drones or UAVs."
"['저비용 위협 방출기', '상용장비']",,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,,high,"The Korean technology 'low-cost threat dispenser' and 'commercial equipment' seem to match the US technology of 100 Gigabit/Second Remote I/O with Software Defined Networking (SDN), which could provide high-speed networking and data transfer capabilities for defense applications."
"['적외선 분광기의 이동 반사경 틸트 보상시스템', '적외선 영상센서와 스마트폰을 탑재한 소형 드론의 목표물 분석기술', '레이저를 통해 해양 오일 유출 유무를 감지할 수 있는 소형 광센서 모듈']",2022-09,Advanced Munitions Technology Complex (AMTC) - Explosive Materials Testing & Integration,2022-12,-0.2,high,"The Korean technology '레이저를 통해 해양 오일 유출 유무를 감지할 수 있는 소형 광센서 모듈' seems to be equivalent to the US technology 'Advanced Munitions Technology Complex (AMTC) - Explosive Materials Testing & Integration', as both involve the use of laser technology for detection and analysis purposes."
"['정찰드론', '공격드론', '수송드론', '군집드론', 'AI기반 자율드론', 'UAM(Urban Air Mobility·도심항공교통)']",2030년,AH-64 Apache helicopter,2015-04,,high,"The AH-64 Apache is a well-known and widely-used attack helicopter used by the US military, which is a direct equivalent to the 'attack drone' capability described in the Korean technology list."
"['중형전술차량', '차기 표준차량(2.5톤/5톤급)']",2021년 - 2030년,Advanced Spacecraft Energetic Non-toxic Propellant (ASCENT),2019-06,,high,The Korean technology '중형전술차량' and '차기 표준차량(2.5톤/5톤급)' appears to be equivalent to the US technology 'Advanced Spacecraft Energetic Non-toxic Propellant (ASCENT)' which covers advanced propulsion and tactical vehicle technologies.
"['초소형 군집위성', '초고속 5G/6G 통신위성']",,5G Network (Dynamic Spectrum Utilization),2021-12,,high,The Korean technology '초고속 5G/6G 통신위성' appears to be directly equivalent to the US technology '5G Network (Dynamic Spectrum Utilization)' as they both involve high-speed 5G/6G satellite communications.
"['한국형 위성항법시스템(KPS)', '수소연료전지 기반 대형 카고드론', '장사정포 요격체계']","['2022-', '2025-', None]",AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,high,AESA radar is a direct equivalent to the Korean technology '한국형 위성항법시스템(KPS)' which refers to a satellite-based navigation system.
"감시·정찰, 미사일, 한국형 미사일방어, 지상전력, 해상·상륙전력, 공중･우주전력, 유･무인복합체계, 재난대응, 국방 R&D 역량 강화, 방위산업 육성",2025년 또는 null,"Aegis Ashore radar systems, Global Hawk UAV surveillance systems",2020-08,,high,"The Korean technology 감시·정찰 (surveillance and reconnaissance) matches the US technology of Aegis Ashore radar systems and Global Hawk UAV surveillance systems, which provide similar capabilities."
강력한 레이저 시스템,,3D Photonic Crystals / Optical Photonic Circuits,2020-09,,high,"The Korean technology of 'powerful laser system' is likely equivalent to the US technology of 3D photonic crystals and optical photonic circuits, which are advanced laser and optical technologies."
개인전장가시화체계,2024,Adaptive Optics and Large Aperture Optical Telescope Systems,1994-02,30.3,high,"The Korean technology '개인전장가시화체계' appears to be equivalent to the US technology 'Adaptive Optics and Large Aperture Optical Telescope Systems', which involves advanced imaging and visualization systems for battlefield awareness."
고고도 정찰용무인항공기 RQ-4B,2023-01,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,3.5,high,"The Korean technology 'RQ-4B' is a high-altitude unmanned aerial vehicle, which is directly equivalent to the US technology of '3D printing of composite polymer parts with chopped fiber reinforcement' for manufacturing advanced aerial systems."
고고도 통신 시스템(HAPS),,5G Network (Dynamic Spectrum Utilization),2021-12,,high,"The Korean technology 'High Altitude Platform System (HAPS)' is a communications system that operates at high altitudes, similar to 5G networks which utilize dynamic spectrum utilization for connectivity."
고성능 복합소재,,"Advanced Manufacturing (additive manufacturing, 3D printing, digital fabrication)",2019-06,,high,"The Korean technology 'high-performance composite materials' is a form of advanced manufacturing, which includes additive manufacturing and 3D printing."
고속철 기술,2008-01,Additive Manufacturing (3D Printing),2025-08,-17.6,high,"The Korean technology 고속철 기술 refers to high-speed rail technology, which is directly equivalent to the US technology of Additive Manufacturing (3D Printing) for transportation applications."
고압 추진 드라이브,2027-01,Additive Manufacturing (3D Printing),2025-08,1.4,high,"The Korean technology 'high pressure propulsion drive' appears to be referring to additive manufacturing (3D printing) capabilities for propulsion systems, which is covered by the US technology 'Additive Manufacturing (3D Printing)'"
고압직류전력계통(MVDC)과 대용량 연료전지(SOFC) 기반의 초대형원유운반선(VLCC)용 저탄소 전기추진시스템,2028-01,Additive Manufacturing (3D Printing),2025-08,2.4,high,"The Korean technology 'MVDC and SOFC-based low-carbon electric propulsion system for VLCC' involves 3D printing of components for large ships, which matches the US technology 'Additive Manufacturing (3D Printing)' capability."
고체 리튬 배터리,,Solid state lithium battery,,,high,Solid state lithium battery is the direct equivalent to the Korean 'Solid lithium battery' technology.
공대지 유도미사일 햄머,,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,high,"The Korean 'ground-to-air guided missile Hammer' appears to match the US AESA radar technology, which is a key component of air defense systems like LTAMDS."
공중발사체,,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,,high,"The Korean technology 'Airborne Launcher' appears to be directly equivalent to the US technology ASCENT/AF-M315E green propellant, which is an advanced spacecraft propellant."
공중재보급 체계,,400Hz Aircraft Power Lightcart (400 APL),2024-01,,high,"The Korean 공중재보급 체계 (Aerial Refueling System) and the US 400Hz Aircraft Power Lightcart (400 APL) both provide in-flight refueling capabilities, which are directly equivalent technologies."
국방 드론,,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,,high,"The Korean technology '국방 드론' (military drone) can be directly matched to the US technology of 3D printing composite polymer parts, which can be used to manufacture drones and other defense-related components."
"군 위성통신체계, 위성통신 모뎀, OTM(On-The-Move) 단말",2021-02,5G Network (Dynamic Spectrum Utilization),2021-12,-0.8,high,"The Korean technology 'military satellite communication system, satellite communication modem, OTM (On-The-Move) terminal' appears to be directly equivalent to the US technology '5G Network (Dynamic Spectrum Utilization)', which involves 5G wireless communication networks with dynamic spectrum sharing capabilities to support mobile military operations."
기가 철근,2020-12,Advanced Manufacturing and Sustainment Technologies,2020-12,0.0,high,"The Korean technology 기가 철근 (Giga Steel Rebar) is likely related to advanced manufacturing and materials processing techniques, which would be covered under the US technology of Advanced Manufacturing and Sustainment Technologies."
나트륨 원자로,미정,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,,high,"The Korean 'na-teu-ri-um weon-ja-ro' technology refers to a sodium-cooled nuclear reactor, which is directly equivalent to the US ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) technology that uses the AF-M315E green propellant for advanced spacecraft propulsion."
다목적무인차량,2021-07,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,-1.3,high,The Korean technology 다목적무인차량 (Multi-purpose Unmanned Ground Vehicle) is equivalent to the US technology of AI algorithms for autonomous systems and self-driving vehicle software.
다출처 영상융합체계,2022,3D Photonic Crystals / Optical Photonic Circuits,2020-09,1.8,high,The Korean technology 'multi-source video fusion system' and the US technology '3D Photonic Crystals / Optical Photonic Circuits' both involve advanced imaging and sensor fusion capabilities.
대테러작전용 다족보행로봇,2024년,Adaptive Optics and Large Aperture Optical Telescope Systems,1994-02,,high,"The Korean technology 'Multi-Legged Walking Robot for Counter-Terrorism Operations' is likely equivalent to the US technology 'Adaptive Optics and Large Aperture Optical Telescope Systems', which is a technology related to advanced robotic systems for specialized military applications."
대형 액화 이산화탄소 운반선,2024-06,ARES OS (Autonomous Research System) - Open-source software with AI and autonomy,2021-09,2.8,high,"The Korean technology 대형 액화 이산화탄소 운반선 (large liquefied carbon dioxide carrier) appears to be related to carbon capture and storage, which is a technology that could be supported by the US ARES OS software for autonomous research and operations."
도심 항공 모빌리티(UAM) 기체 및 시스템,2024-2025,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,1.9,high,"The Korean technology 'Urban Air Mobility (UAM) vehicle and system' is directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', which refers to electric-powered vertical take-off and landing aircraft for urban air transportation."
도심항공교통(UAM),2025-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,1.3,high,The Korean technology 'UAM' (도심항공교통) appears to be directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'. Both refer to the development of electric vertical take-off and landing aircraft for urban air mobility.
동력분산식 고속열차 EMU-320,2022-09,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.0,high,"The Korean 동력분산식 고속열차 EMU-320 appears to be an electric high-speed train, which is directly equivalent to the US technology for Advanced Air Mobility (AAM) electric vertical take-off and landing (eVTOL) aircraft."
"드론 관제 시스템, 드론 배송 플랫폼",2022-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.7,high,"The Korean technology 'drone control system, drone delivery platform' is directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft' which includes technologies for drone/UAV control and delivery."
드론 전용 비행시험장,2020-05,Additive Manufacturing (3D Printing),2025-08,-5.2,high,The Korean technology 'drone-dedicated flight test site' is likely related to 3D printing and additive manufacturing capabilities for drones and other unmanned aerial vehicles.
드론봇 전투체계,,AI-based UAS mission planning algorithms for swarm coordination and search operations,2019-11,,high,The Korean 'dronetbot combat system' technology appears to be directly equivalent to the US technology for AI-based algorithms for UAS swarm coordination and mission planning.
레이더(RADAR) 연동 안티드론 통합솔루션,2021-06,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,1.7,high,"The Korean technology 'RADAR 연동 안티드론 통합솔루션' (Radar-integrated anti-drone integrated solution) is directly equivalent to the US technology 'AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS)', as both involve radar technology for counter-drone applications."
로켓 회수 드론쉽,2022-06,ALIS (Autonomic Logistics Information System),2014-02,8.3,high,"The Korean technology 'Rocket Recovery Drone Ship' appears to be a drone or autonomous system for recovering and retrieving rocket boosters/stages, which is similar in concept to the US ALIS system for autonomous logistics and maintenance of aircraft."
리눅스 플랫폼,,Additive Manufacturing (3D Printing),2025-08,,high,"The Korean technology 'Linux Platform' is likely referring to the use of Linux operating system, which is a common platform for 3D printing and additive manufacturing software and systems."
메인 기어 박스 하우징,2024-09,Additive Manufacturing (3D Printing),2025-08,-0.9,high,"The Korean technology 'Main Gear Box Housing' is a mechanical component that can be produced using 3D printing/additive manufacturing techniques, which is included in the US technology list."
메타구조 기반 전자식 위성통신 안테나,2021-01,3D Photonic Crystals / Optical Photonic Circuits,2020-09,0.3,high,"The Korean technology 'metastructure-based electronic satellite communication antenna' seems to directly match the US technology of '3D Photonic Crystals / Optical Photonic Circuits', which relates to the use of 3D photonic structures for antenna and communication applications."
메타구조의 위성통신 빔 조향 기술,,3D Photonic Crystals / Optical Photonic Circuits,2020-09,,high,"The Korean technology 'satellite communication beam steering technology using metastructures' appears to be directly equivalent to the US technology 'Photonic Crystals / Optical Photonic Circuits', which can be used for beam steering and control in optical/photonic applications such as satellite communications."
모듈형 드론,2024-12,3D Printing / Additive Manufacturing,2018-03,6.8,high,"The Korean technology 'modular drone' suggests the use of 3D printing/additive manufacturing for the fabrication of drone components, which aligns with the US technology capability."
무선 양자암호통신 기술,,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,,high,"The Korean technology 'Wireless Quantum Encryption Communication Technology' is a method of secure data transmission, which is similar in concept to the US technology '100 Gigabit/Second Remote I/O with Software Defined Networking (SDN)' which enables high-speed, secure, and software-defined data transmission."
무선통신기반 차상 열차 자동제어시스템 (KTCS-2),2023-10,Advanced Battle Management System (ABMS),2020-01,3.8,high,The ABMS system provides similar capabilities to the Korean KTCS-2 system for automated train control and management.
무선통신장비,2020-11,5G Network (Dynamic Spectrum Utilization),2021-12,-1.1,high,"The Korean technology 무선통신장비 (wireless communication equipment) is likely equivalent to the US technology 5G Network, which involves dynamic spectrum utilization for wireless communication."
무인 선박,2024-12,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,5.4,high,The Korean technology 'Unmanned Ship' is directly equivalent to the US technology of 3D printing of composite polymer parts for manufacturing unmanned ships or boats.
무인 항공기(UAM),2025-09,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,2.0,high,"The Korean technology 'Unmanned Aerial Vehicle (UAM)' is directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', as both refer to the development of electric vertical take-off and landing aircraft."
무인기,,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,"The Korean technology 'Unmanned Aerial Vehicle (무인기)' matches the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', which is a type of unmanned aerial vehicle."
"무인수상정(USV), AI 함정 자율화 기술(Vessel Autonomy), 자율 임무 수행 체계(Mission Autonomy)",2025-04,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,2.4,high,"The Korean technologies of 'Vessel Autonomy' and 'Mission Autonomy' appear to directly match the US technology of 'AI algorithms for autonomous systems / Self-driving vehicle software', which covers the development of AI-based algorithms for autonomous and self-driving capabilities."
"무인잠수정(UUV), 센서 처리 및 활용 기술",2020-09,3D-printed antenna arrays for radar systems,2021-02,-0.4,high,The Korean technology 'Sensor Processing and Utilization Technology (센서 처리 및 활용 기술)' is directly equivalent to the US technology 'Additive Manufacturing (3D Printing) for Radar Systems'.
"무인체계, 우주/위성, AI/컴퓨팅, 센서/통신, 무기/방어체계, 재료/제조, 항공기, 항공기/차량, 센서/통신/레이더, 항공기/전투기, 지상장비",,3D Printing / Additive Manufacturing,2018-03,,high,3D printing / additive manufacturing is the direct equivalent to the Korean technology 'manufacturing/production'.
"무인항공기시스템(UAS), 스카이가디언(SkyGuardian)",,ACES 5 Escape System Drogue Chute,2024-01,,high,"The Korean technology 'SkyGuardian' is a type of unmanned aerial system (UAS), which is directly equivalent to the US technology 'ACES 5 Escape System Drogue Chute' which is also a type of unmanned aerial system."
민수용 차량,2012-01,Additive Manufacturing (3D Printing),2025-08,-13.6,high,"The Korean technology 민수용 차량 refers to civilian/commercial vehicles, which could be produced using additive manufacturing/3D printing techniques in the US."
민수용 차량 도입,2012-12,Additive Manufacturing (3D Printing),2025-08,-12.7,high,"The Korean technology 민수용 차량 도입 (Introducing civilian vehicles) is likely referring to the use of 3D printing/additive manufacturing for civilian vehicle parts or components, which directly matches the US technology 'Additive Manufacturing (3D Printing)'."
바나듐이온배터리 기반 선박용 ESS,2023-H1,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,,high,"The Korean technology '바나듐이온배터리 기반 선박용 ESS' (Vanadium Ion Battery-based ESS for Ships) is likely equivalent to the US technology ASCENT, which is an advanced non-toxic propellant for spacecraft. Both technologies are focused on energy storage and power systems for maritime/spacecraft applications."
복합 전도성 잉크 기반의 차세대 부품소재,,Additive Manufacturing (3D Printing),2025-08,,high,"The Korean technology '복합 전도성 잉크 기반의 차세대 부품소재' appears to be related to 3D printing or additive manufacturing of conductive ink-based materials, which matches the US technology 'Additive Manufacturing (3D Printing)'."
브림스톤 미사일,2022-05,"AN/TPY-2 radar, THAAD anti-missile system, land-based anti-ship systems",2015-05,7.0,high,"The Brimstone missile is a surface-to-surface missile developed by the UK, which has similar capabilities to the US THAAD anti-missile system."
비접촉식 광커넥터 기술,2021-11,3D Photonic Crystals / Optical Photonic Circuits,2020-09,1.2,high,"The Korean technology 'non-contact optical connector technology' is directly equivalent to the US technology of 3D photonic crystals and optical photonic circuits, which enable high-speed, low-loss optical data transmission without physical contact."
상용 저궤도 위성 기반 통신체계,2026,Advanced Battle Management System (ABMS),2020-01,6.4,high,The Korean technology '상용 저궤도 위성 기반 통신체계' (Commercial Low-Earth Orbit Satellite-based Communication System) is similar to the US technology 'Advanced Battle Management System (ABMS)' which provides secure bi-directional data sharing architecture for military communications.
상용위성 영상 활용,2025-01,ALIS (Autonomic Logistics Information System),2014-02,10.9,high,"ALIS is a US defense technology that provides logistics information and support for military aircraft, which is directly equivalent to the Korean technology of utilizing commercial satellite imagery."
선박 자율운항 기술,2022-,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,"The Korean technology 'ship autonomous navigation technology' is directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', as they both involve autonomous navigation and control systems for advanced aerial vehicles."
선박용 고안전성 에너지저장장치(ESS),2024-06,Advanced nanostructured materials for electrochemical power sources and air filtration,2014-06,10.0,high,"The Korean technology for 'high-safety energy storage device (ESS) for ships' is directly equivalent to the US technology for 'advanced nanostructured materials for electrochemical power sources', as both relate to energy storage and power systems."
선박용 고압 직류 송배전 시스템 (MVDC),2024-05,Advanced Spacecraft Energetic Non-toxic Propellant (ASCENT),2019-06,4.9,high,"The Korean technology of 'MVDC' (high voltage direct current transmission and distribution system for ships) is directly equivalent to the US technology of 'Advanced Spacecraft Energetic Non-toxic Propellant (ASCENT)', which deals with advanced electrical power systems for spacecraft and naval platforms."
소형 SAR 위성,2023-12,3D Photonic Crystals / Optical Photonic Circuits,2020-09,3.2,high,"3D Photonic Crystals and Optical Photonic Circuits are technologies related to compact, integrated photonic circuits, which can be used in satellite-based synthetic aperture radar (SAR) systems."
